Brand, Product_name, Price, Shipping_status
GIGABYTE,GIGABYTE A520M S2H mATX AM4 4+3 Phases Digital PWM| GIGABYTE Gaming GbE LAN| NVMe PCIe 3.0 x4 M.2| 3 Display Interfaces| Q-Flash Plus| RGB Fusion 2.0| Motherboard,$67.99 ,Free Shipping
ASUS,ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0| 10GB GDDR6X| LHR| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| Military-grade Certification| GPU Tweak II),$1531.60 (6 Offers),Free Shipping
ASUS,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),$800.00 (8 Offers),Free Shipping
GIGABYTE,GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTGAMING OC-12GD Video Card,$1078.05 (8 Offers),Free Shipping
ABS,ABS Master Gaming PC - Intel i7 11700F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,$1799.99 ,Free Shipping
ABS,ABS Master Gaming PC - Intel i5 11400F - GeForce RTX 3060 - 16GB DDR4 3000MHz - 512GB Intel M.2 NVMe SSD,$1199.99 ,Free Shipping
ABS,ABS Master Gaming PC - Intel i5 10400F - GeForce RTX 3060 12GB - 16GB DDR4 3000MHz - 512GB M.2 NVMe SSD,$1399.99 ,Free Shipping
ABS,ABS Gladiator Gaming PC - Intel i5 10600K - GeForce RTX 3070 Ti 8GB - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,$2199.99 ,Free Shipping
ABS,ABS Master Gaming PC - AMD Ryzen 5 5600X - Radeon RX 6600 XT - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 512GB Intel 660P M.2 NVMe SSD - RGB CPU Cooler,$1599.99 ,Free Shipping
ABS,ABS Master Gaming PC - Intel i5 10400F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 512GB M.2 NVMe SSD,$1299.99 ,Free Shipping
ABS,ABS Master Gaming PC - Intel i5 10400F - ASUS Dual GeForce RTX 3060 12GB - G.Skill Ripjaw V 16GB DDR4 3200MHz - 512GB SSD,$1449.99 (2 Offers),Free Shipping
ABS,ABS Legend Gaming PC - Intel i9 11900K - ASUS ROG STRIX GeForce RTX 3090 O24GB - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 2TB Intel 670P M.2 NVMe - Corsair H115i RGB Platinum 280MM - Windows 10 Pro,$5199.99 ,Free Shipping
